transaction_id,customer_id,customer_segment,account_type,transaction_timestamp,transaction_date,transaction_hour,transaction_dow,is_weekend,is_holiday,month,quarter,amount,currency,old_balance,new_balance,balance_delta_check,merchant_name,merchant_id,mcc_code,mcc_category,merchant_sector,payment_rail,transaction_status,is_international,is_round_amount,device_id,device_type,device_os,trusted_device_count,new_device_flag,ip_address,city,country,distance_from_home_km,credit_limit,credit_utilization,credit_score,account_age_days,transaction_velocity_1h,chargeback_flag,fraud_label,fraud_type
02d82794-f2a2-41f9-bce1-9cf95962a807,ACC384262F4DB19,SMALL_BUSINESS,CREDIT,2022-01-01 00:50:47,2022-01-01,0,5,1,1,1,1,128.69,USD,42426.14,42554.83,128.69,Jade Specialized Works,MER_8368867166,5965,ONLINE_RETAIL,E-Commerce,CREDIT_CARD,APPROVED,0,0,DEV_C5C53A7E8B23,POS_TERMINAL,POS-Linux/2.x,1,False,48.55.166.127,San Francisco,US,4129.1,102732.29,0.41,582,2719,1,False,0,LEGITIMATE
1ad78c7d-5ad1-47ed-9616-ac4f5b22e57c,ACCBB6DD861003C,SMALL_BUSINESS,CREDIT,2022-01-01 01:08:26,2022-01-01,1,5,1,1,1,1,9300.8,USD,70294.56,79595.36,9300.8,Ascent Capital Partners,MER_F6BB4595A9,6099,WIRE_TRANSFER,Financial Services,CREDIT_CARD,APPROVED,0,0,DEV_873EE4682699,DESKTOP_WIN,Windows 11,3,False,178.31.217.182,Los Angeles,US,3935.2,151031.58,0.53,543,3310,1,False,0,LEGITIMATE
9e496ec9-a86c-488c-aa85-0d91dd19c966,ACC8A28288E8C78,FREQUENT_TRAVELER,CHECKING,2022-01-01 01:47:42,2022-01-01,1,5,1,1,1,1,154.08,JPY,20248.45,20094.37,-154.08,Innovative Trek Lodges,MER_54C4900A98,3000,AIRLINE,Travel,DEBIT_CARD,APPROVED,1,0,DEV_0A18649CA6AC,TABLET,Android 13 Tablet,3,False,195.173.225.111,Seoul,KR,11052.4,112887.72,0.43,567,3286,1,False,0,LEGITIMATE
2b16f7e5-6abc-4f03-863e-63ddc1bb597b,ACCD2D5BAA7473E,MASS_RETAIL,CHECKING,2022-01-01 01:49:04,2022-01-01,1,5,1,1,1,1,127.43,USD,2484.45,2357.02,-127.43,Valley Ivory Exchange,MER_F06C71D997,5541,FUEL,Automotive,DEBIT_CARD,APPROVED,1,0,DEV_EF91EFD9AB23,MOBILE_ANDROID,Android 12,1,False,82.250.29.70,Toronto,CA,550.0,9891.87,0.51,748,441,1,False,0,LEGITIMATE
acab8f06-f271-4da0-b2c0-4cb89fe26dd6,ACC119C24334FEE,MASS_RETAIL,CREDIT,2022-01-01 02:02:02,2022-01-01,2,5,1,1,1,1,15.0,USD,24939.19,24954.19,15.0,Crimson Depot,MER_79D32149BA,5411,GROCERY,Retail,CREDIT_CARD,APPROVED,0,0,DEV_1B714CE3E122,MOBILE_IOS,iOS 15.x,2,False,130.133.197.15,Dallas,US,2205.4,48206.24,0.52,732,1524,5,False,0,LEGITIMATE
2a8d19cc-a9a7-4433-b99d-3607cc2620c8,ACCCC07A2DD5CFD,SMALL_BUSINESS,CHECKING,2022-01-01 02:03:40,2022-01-01,2,5,1,1,1,1,1433.85,USD,117986.68,116552.83,-1433.85,Arbor Alpine Holdings,MER_4153F421AE,6300,INSURANCE,Financial,DEBIT_CARD,APPROVED,1,0,DEV_76D37C9853BB,MOBILE_ANDROID,Android 14,1,False,145.94.173.110,Singapore,SG,15333.1,126323.98,0.31,625,2955,1,False,0,LEGITIMATE
df54e8b1-4989-4a0a-a68b-96275edcf11a,ACC02C678DD4019,MASS_RETAIL,CHECKING,2022-01-01 02:12:40,2022-01-01,2,5,1,1,1,1,43.98,USD,2973.48,2929.5,-43.98,Elite Basil Table,MER_02F0FAB37D,5814,FAST_FOOD,Food,DEBIT_CARD,APPROVED,0,0,DEV_C068BF251FA9,DESKTOP_WIN,Windows 11,2,False,153.90.139.87,New York,US,0.0,6630.79,0.75,478,2683,2,False,0,LEGITIMATE
d1aa5db7-2ef6-4cc1-a658-0cff867d0677,ACCFD35AC4003D8,SMALL_BUSINESS,CHECKING,2022-01-01 02:18:57,2022-01-01,2,5,1,1,1,1,40.5,USD,312990.9,312950.4,-40.5,Willow Market,MER_C1BFF74E35,5411,GROCERY,Retail,DEBIT_CARD,APPROVED,0,0,DEV_F4EFF10C3768,DESKTOP_WIN,Windows 11,3,False,182.226.111.27,Miami,US,1756.6,160700.47,0.4,682,44,2,False,0,LEGITIMATE
1c6f08a1-75e6-4a4f-8e15-5c64198d851d,ACC1001842D316A,HIGH_NET_WORTH,CHECKING,2022-01-01 02:22:14,2022-01-01,2,5,1,1,1,1,2751.68,USD,326438.39,323686.71,-2751.68,Certified Willow Trading,MER_05E6D4AC59,5732,ELECTRONICS,Retail,P2P_TRANSFER,APPROVED,0,0,DEV_B1304C91CFEF,MOBILE_IOS,iOS 16.x,3,False,193.28.247.118,Los Angeles,US,3935.2,201568.7,0.16,593,1086,3,False,0,LEGITIMATE
82342f05-b33d-4b95-a7b6-fae1c3a90351,ACC2125374B7C8D,STUDENT,CHECKING,2022-01-01 02:24:24,2022-01-01,2,5,1,1,1,1,1.68,USD,1264.83,1263.15,-1.68,Hearth Classic Kitchen,MER_1E544616DB,5814,FAST_FOOD,Food,DEBIT_CARD,APPROVED,1,0,DEV_776CAD328842,DESKTOP_WIN,Windows 11,3,False,209.6.63.52,Hong Kong,HK,12955.6,8953.9,0.62,624,2567,2,False,0,LEGITIMATE
